latitude;longitude;elevacao;diff_elev;distancias;soma_elev;soma_dist;km_group;desnivel_positivo;desnivel_negativo
-22.390577;-44.966613;926.5142857;0;0;0;0;0;0;0
-22.390573;-44.96664;926.4;-0.114285714;2.81;-0.114285714;2.81;1;0;-0.114285714
-22.390573;-44.966668;926.4;0;2.88;-0.114285714;5.69;1;0;0
-22.390568;-44.966689;926.2;-0.2;2.23;-0.314285714;7.92;1;0;-0.2
-22.390742;-44.966651;926;-0.2;19.74;-0.514285714;27.66;1;0;-0.2
-22.390747;-44.966752;926;0;10.4;-0.514285714;38.06;1;0;0
-22.390885;-44.96672;926.2;0.2;15.69;-0.314285714;53.75;1;0.2;0
-22.390925;-44.966702;926.2;0;4.82;-0.314285714;58.57;1;0;0
-22.39104;-44.966673;926.2;0;13.13;-0.314285714;71.7;1;0;0
-22.391169;-44.966658;926;-0.2;14.43;-0.514285714;86.13;1;0;-0.2
-22.391194;-44.966653;926;0;2.83;-0.514285714;88.96;1;0;0
-22.391216;-44.96665;926;0;2.47;-0.514285714;91.43;1;0;0
-22.391239;-44.966644;926;0;2.63;-0.514285714;94.06;1;0;0
-22.39134;-44.966619;926;0;11.52;-0.514285714;105.58;1;0;0
-22.391432;-44.966615;925.8;-0.2;10.24;-0.714285714;115.82;1;0;-0.2
-22.391454;-44.966611;925.8;0;2.48;-0.714285714;118.3;1;0;0
-22.391548;-44.966584;926;0.2;10.81;-0.514285714;129.11;1;0.2;0
-22.391566;-44.966576;926;0;2.16;-0.514285714;131.27;1;0;0
-22.391721;-44.966543;925.8;-0.2;17.57;-0.714285714;148.84;1;0;-0.2
-22.391788;-44.966535;925.8;0;7.5;-0.714285714;156.34;1;0;0
-22.391844;-44.966494;925.8;0;7.52;-0.714285714;163.86;1;0;0
-22.391854;-44.966384;925.8;0;11.36;-0.714285714;175.22;1;0;0
-22.391818;-44.966227;925.4;-0.4;16.63;-1.114285714;191.85;1;0;-0.4
-22.391816;-44.96618;925.2;-0.2;4.84;-1.314285714;196.69;1;0;-0.2
-22.391804;-44.966108;925.2;0;7.52;-1.314285714;204.21;1;0;0
-22.391798;-44.966084;925.2;0;2.56;-1.314285714;206.77;1;0;0
-22.391756;-44.96589;925.4;0.2;20.48;-1.114285714;227.25;1;0.2;0
-22.391748;-44.965834;925.2;-0.2;5.83;-1.314285714;233.08;1;0;-0.2
