;latitude;longitude;elevacao;diff_elev;distancias;soma_elev;soma_dist;km_group;desnivel_positivo;desnivel_negativo
0;-22.392141;-44.958159;1014.8;0.0;0.0;0.0;0.0;0;0.0;0.0
1;-22.392157;-44.958137;1015.0;0.20000000000004547;2.88;0.20000000000004547;2.88;1;0.20000000000004547;0.0
2;-22.392173;-44.958116;1015.2;0.20000000000004547;2.8;0.40000000000009095;5.68;1;0.20000000000004547;0.0
3;-22.392189;-44.958094;1015.4;0.1999999999999318;2.88;0.6000000000000227;8.559999999999999;1;0.1999999999999318;0.0
4;-22.392204;-44.958074;1015.6;0.20000000000004547;2.65;0.8000000000000682;11.209999999999999;1;0.20000000000004547;0.0
5;-22.392219;-44.958055;1015.7;0.10000000000002274;2.57;0.900000000000091;13.78;1;0.10000000000002274;0.0
6;-22.392234;-44.958035;1015.9;0.1999999999999318;2.65;1.1000000000000227;16.43;1;0.1999999999999318;0.0
7;-22.392249;-44.958015;1016.1;0.20000000000004547;2.65;1.3000000000000682;19.08;1;0.20000000000004547;0.0
8;-22.392269;-44.957989;1016.3;0.1999999999999318;3.48;1.5;22.56;1;0.1999999999999318;0.0
9;-22.392289;-44.957964;1016.5;0.20000000000004547;3.4;1.7000000000000455;25.959999999999997;1;0.20000000000004547;0.0
10;-22.392309;-44.957939;1016.8;0.2999999999999545;3.4;2.0;29.359999999999996;1;0.2999999999999545;0.0
11;-22.39232;-44.957913;1017.0;0.20000000000004547;2.94;2.2000000000000455;32.3;1;0.20000000000004547;0.0
12;-22.392331;-44.957887;1017.2;0.20000000000004547;2.94;2.400000000000091;35.239999999999995;1;0.20000000000004547;0.0
13;-22.392343;-44.957861;1017.4;0.1999999999999318;2.99;2.6000000000000227;38.23;1;0.1999999999999318;0.0
14;-22.392354;-44.957836;1017.6;0.20000000000004547;2.85;2.800000000000068;41.08;1;0.20000000000004547;0.0
15;-22.392364;-44.95781;1017.8;0.1999999999999318;2.9;3.0;43.98;1;0.1999999999999318;0.0
16;-22.392375;-44.957784;1018.0;0.20000000000004547;2.94;3.2000000000000455;46.919999999999995;1;0.20000000000004547;0.0
17;-22.392385;-44.957758;1018.2;0.20000000000004547;2.9;3.400000000000091;49.81999999999999;1;0.20000000000004547;0.0
18;-22.392396;-44.957732;1018.4;0.1999999999999318;2.94;3.6000000000000227;52.75999999999999;1;0.1999999999999318;0.0
19;-22.392406;-44.957711;1018.6;0.20000000000004547;2.43;3.800000000000068;55.18999999999999;1;0.20000000000004547;0.0
20;-22.392416;-44.95769;1018.8;0.1999999999999318;2.43;4.0;57.61999999999999;1;0.1999999999999318;0.0
21;-22.392426;-44.957669;1018.9;0.10000000000002274;2.43;4.100000000000023;60.04999999999999;1;0.10000000000002274;0.0
22;-22.392437;-44.957648;1019.1;0.20000000000004547;2.48;4.300000000000068;62.52999999999999;1;0.20000000000004547;0.0
23;-22.392447;-44.957627;1019.3;0.1999999999999318;2.43;4.5;64.96;1;0.1999999999999318;0.0
24;-22.392456;-44.957605;1019.5;0.20000000000004547;2.47;4.7000000000000455;67.42999999999999;1;0.20000000000004547;0.0
25;-22.392466;-44.957584;1019.7;0.20000000000004547;2.43;4.900000000000091;69.86;1;0.20000000000004547;0.0
26;-22.392476;-44.957563;1019.9;0.1999999999999318;2.43;5.100000000000023;72.29;1;0.1999999999999318;0.0
27;-22.392485;-44.957542;1020.1;0.20000000000004547;2.38;5.300000000000068;74.67;1;0.20000000000004547;0.0
28;-22.392495;-44.957521;1020.3;0.1999999999999318;2.43;5.5;77.10000000000001;1;0.1999999999999318;0.0
29;-22.392505;-44.957498;1020.5;0.20000000000004547;2.61;5.7000000000000455;79.71000000000001;1;0.20000000000004547;0.0
30;-22.392516;-44.957476;1020.7;0.20000000000004547;2.57;5.900000000000091;82.28;1;0.20000000000004547;0.0
31;-22.392526;-44.957453;1020.9;0.1999999999999318;2.61;6.100000000000023;84.89;1;0.1999999999999318;0.0
32;-22.392537;-44.957431;1021.1;0.20000000000004547;2.57;6.300000000000068;87.46;1;0.20000000000004547;0.0
33;-22.392536;-44.957403;1021.3;0.1999999999999318;2.88;6.5;90.33999999999999;1;0.1999999999999318;0.0
34;-22.392535;-44.957375;1021.5;0.20000000000004547;2.88;6.7000000000000455;93.21999999999998;1;0.20000000000004547;0.0
35;-22.392535;-44.957347;1021.7;0.20000000000004547;2.88;6.900000000000091;96.09999999999998;1;0.20000000000004547;0.0
36;-22.392534;-44.957319;1022.0;0.2999999999999545;2.88;7.2000000000000455;98.97999999999998;1;0.2999999999999545;0.0
37;-22.392537;-44.957298;1022.1;0.10000000000002274;2.18;7.300000000000068;101.15999999999998;1;0.10000000000002274;0.0
38;-22.39254;-44.957277;1022.3;0.1999999999999318;2.18;7.5;103.33999999999999;1;0.1999999999999318;0.0
39;-22.392543;-44.957256;1022.5;0.20000000000004547;2.18;7.7000000000000455;105.52;1;0.20000000000004547;0.0
40;-22.392547;-44.957235;1022.6;0.10000000000002274;2.2;7.800000000000068;107.72;1;0.10000000000002274;0.0
41;-22.39255;-44.957214;1022.8;0.1999999999999318;2.18;8.0;109.9;1;0.1999999999999318;0.0
42;-22.392557;-44.957193;1023.0;0.20000000000004547;2.3;8.200000000000045;112.2;1;0.20000000000004547;0.0
43;-22.392564;-44.957173;1023.1;0.10000000000002274;2.2;8.300000000000068;114.4;1;0.10000000000002274;0.0
