;latitude;longitude;elevacao;diff_elev;distancias;soma_elev;soma_dist;km_group;desnivel_positivo;desnivel_negativo
0;-22,3905289;-44,9661817;922,0;0,0;0,0;0,0;0,0;0;0,0;0,0
1;-22,3905414;-44,9661728;922,0;0,0;1,66;0,0;1,66;1;0,0;0,0
2;-22,3905539;-44,9661641;922,0;0,0;1,65;0,0;3,3099999999999996;1;0,0;0,0
3;-22,3905742;-44,9661552;921,0;-1,0;2,44;-1,0;5,75;1;0,0;-1,0
4;-22,3905946;-44,9661465;921,0;0,0;2,44;-1,0;8,19;1;0,0;0,0
5;-22,3906218;-44,9661392;921,0;0,0;3,12;-1,0;11,309999999999999;1;0,0;0,0
6;-22,3906491;-44,9661319;921,0;0,0;3,13;-1,0;14,439999999999998;1;0,0;0,0
7;-22,3906807;-44,966123;921,0;0,0;3,63;-1,0;18,069999999999997;1;0,0;0,0
8;-22,3907123;-44,9661142;921,0;0,0;3,63;-1,0;21,699999999999996;1;0,0;0,0
9;-22,3907472;-44,9661053;921,0;0,0;3,99;-1,0;25,689999999999998;1;0,0;0,0
10;-22,3907822;-44,9660967;921,0;0,0;3,99;-1,0;29,68;1;0,0;0,0
11;-22,3908187;-44,9660901;921,0;0,0;4,11;-1,0;33,79;1;0,0;0,0
12;-22,3908552;-44,9660835;922,0;1,0;4,11;0,0;37,9;1;1,0;0,0
13;-22,3908912;-44,9660796;922,0;0,0;4,02;0,0;41,92;1;0,0;0,0
14;-22,3909272;-44,9660757;922,0;0,0;4,02;0,0;45,94;1;0,0;0,0
15;-22,3909632;-44,966073;922,0;0,0;4,01;0,0;49,949999999999996;1;0,0;0,0
16;-22,3909993;-44,9660704;922,0;0,0;4,02;0,0;53,97;1;0,0;0,0
17;-22,3910354;-44,9660675;922,0;0,0;4,03;0,0;58,0;1;0,0;0,0
18;-22,3910716;-44,9660646;922,0;0,0;4,04;0,0;62,04;1;0,0;0,0
19;-22,391105;-44,9660627;922,0;0,0;3,72;0,0;65,76;1;0,0;0,0
20;-22,3911385;-44,9660608;922,0;0,0;3,73;0,0;69,49000000000001;1;0,0;0,0
21;-22,3911723;-44,9660588;922,0;0,0;3,76;0,0;73,25000000000001;1;0,0;0,0
22;-22,3912062;-44,9660569;922,0;0,0;3,77;0,0;77,02000000000001;1;0,0;0,0
23;-22,3912412;-44,9660539;922,0;0,0;3,9;0,0;80,92000000000002;1;0,0;0,0
24;-22,3912763;-44,966051;922,0;0,0;3,91;0,0;84,83000000000001;1;0,0;0,0
25;-22,3913112;-44,9660466;922,0;0,0;3,91;0,0;88,74000000000001;1;0,0;0,0
26;-22,3913462;-44,9660421;922,0;0,0;3,92;0,0;92,66000000000001;1;0,0;0,0
27;-22,3913811;-44,9660393;922,0;0,0;3,89;0,0;96,55000000000001;1;0,0;0,0
